 , One,UrbanP,LateB,WineC,LiquorC,CDR
16,1,35,33.0,9,47,62.8
34,1,61,45.0,13,59,66.7
17,1,50,38.9,7,68,67.3
20,1,81,53.8,31,79,129.9
46,1,58,43.8,13,57,55.5
22,1,78,53.3,20,97,104.2
43,1,33,36.1,6,59,28.0
15,1,63,47.6,14,54,57.8
38,1,50,31.9,22,43,76.0
5,1,71,45.5,11,53,74.8
10,1,54,45.9,7,57,56.6
29,1,37,33.2,6,40,55.7
31,1,69,47.6,15,70,74.3
8,1,34,31.9,3,32,47.9
7,1,57,44.2,6,73,54.3
26,1,78,50.5,16,76,86.9
35,1,47,42.2,8,55,48.0
1,1,44,33.2,5,30,41.2
24,1,65,44.9,10,81,66.0
40,1,27,31.5,7,56,33.8
23,1,63,47.0,19,95,83.6
11,1,70,43.7,14,43,80.9
33,1,54,43.8,7,63,40.7
27,1,60,42.3,9,37,66.6
21,1,63,42.5,13,59,70.3
6,1,44,37.5,9,65,59.8
4,1,52,39.2,7,48,57.5
45,1,63,39.3,8,40,55.7
36,1,57,53.0,28,149,122.5
44,1,44,35.3,3,32,51.6
30,1,55,36.0,21,76,58.1
32,1,84,50.0,17,66,98.1
